message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278330.169520867";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278330.168451542";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278330.153994996";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278330.153910239";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278330.151829011";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278330.138253130";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278330.138064119";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278330.136192882";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278330.122409571";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278330.121619208";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278330.119519175";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278330.106414683";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278330.106093656";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278330.104016967";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278330.090534635";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278330.090202635";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278330.087485639";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278330.074305679";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278330.073885976";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278330.072002875";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278330.058476594";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278330.058249259";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278330.056348725";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278330.042629193";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278330.041603492";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278330.039658704";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278330.025993965";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278330.025848342";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278330.024082691";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278330.010124071";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278330.009512606";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278330.007510285";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278329.994358234";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278329.993994982";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278329.991944978";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278329.978501269";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278329.977527849";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278329.975433101";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278329.962051604";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278329.961660665";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278329.959941878";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278329.946457232";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278329.927597351";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278329.914350692";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278329.914241578";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278329.911843324";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278329.898359181";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278329.897758405";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278329.896125436";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278329.882485394";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278329.882227356";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278329.880449005";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278329.865791364";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278329.865815985";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278329.863838522";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278329.850308363";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278329.848188284";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278329.834102012";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278329.802514736";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278329.738545755";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278329.738220084";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278329.736099267";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278329.721854755";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278329.721724236";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278329.719572721";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278329.706185024";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278329.706029788";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278329.703972685";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim3.sim";"1695278329.690325887";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278329.690228561";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim2.sim";"1695278329.688376734";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.031173, y=11.096117])";"30";"turtlesim1.sim";"1695278329.674104081";"./src/turtle.cpp:update:260"
